SERVICE_ID,SERVICE_NAME,SERVICE_XML_ID,DIAGNOSIS_RAW,DIAGNOSIS_HL_ID,DIAGNOSIS_MKB_CODE,DIAGNOSIS_UF_XML_ID,DIAGNOSIS_UF_NAME,DIAGNOSIS_UF_SHORTNAME
4552,"Химиотерапия рака желудка",4552,C16,83,C16,C16,"Тела желудка",
4553,"Химиотерапия рака легких",4553,C34,84,C34,C34,"Средней доли, бронхов или легкого",
4553,"Химиотерапия рака легких",4553,C39,112,C39,C39,"рак  органов дыхания и внутригрудных органов",
4555,"Рак головы и шеи",4555,C08,98,C08,C08,"рак  больших слюнных желёз",
4555,"Рак головы и шеи",4555,C06,97,C06,C06,"рак  рта",
4555,"Рак головы и шеи",4555,C32,109,C32,C32,"рак гортани",
4555,"Рак головы и шеи",4555,C13,102,C13,C13,"рак гортаноглотки",
4555,"Рак головы и шеи",4555,C00,91,C00,C00,"рак губы",
4555,"Рак головы и шеи",4555,C14,103,C14,C14,"рак губы, полости рта и глотки",
4555,"Рак головы и шеи",4555,C04,95,C04,C04,"рак дна полости рта",
4555,"Рак головы и шеи",4555,C03,94,C03,C03,"рак десны",
4555,"Рак головы и шеи",4555,C05,96,C05,C05,"рак нёба",
4555,"Рак головы и шеи",4555,C11,21,C11,C11,"рак носоглотки",
4555,"Рак головы и шеи",4555,C07,20,C07,C07,"рак околоушной слюнной железы",
4555,"Рак головы и шеи",4555,C01,92,C01,C01,"рак основания языка",
4555,"Рак головы и шеи",4555,C30,108,C30,C30,"рак полости носа и среднего уха",
4555,"Рак головы и шеи",4555,C10,100,C10,C10,"рак ротоглотки",
4555,"Рак головы и шеи",4555,C02,93,C02,C02,"рак языка",
4555,"Рак головы и шеи",4555,C69,127,C69,C69,"рак глаза и его придаточного аппарата",
4555,"Рак головы и шеи",4555,C09,99,C09,C09,"рак миндалины",
4556,"Рак легких",4556,C39,112,C39,C39,"рак  органов дыхания и внутригрудных органов",
4556,"Рак легких",4556,C34,84,C34,C34,"Средней доли, бронхов или легкого",
4557,"Рак шейки матки",4557,C53,86,C53,C53,"Шейки матки неуточненной части",
4558,"Рак яичников",4558,C56,3,C56,C56,"Злокачественное новообразование яичника",
4559,Лимфома,4559,C82,73,C82,C82,"фолликулярная лимфома",
4559,Лимфома,4559,bb934607007ff6a6267147adc25a6d91cb232d97,87,C82,bb934607007ff6a6267147adc25a6d91cb232d97,"Фолликулярная неходжкинская лимфома неуточненная",
4560,"Рак кишечника",4560,C18,33,C18,C18,"Поперечной ободочной кишки",
4560,"Рак кишечника",4560,C20,34,C20,C20,"Злокачественное новообразование прямой кишки",
4560,"Рак кишечника",4560,C17,26,C17,C17,"рак тонкой кишки",
4560,"Рак кишечника",4560,C19,104,C19,C19,"рак ректосигмоидного соединения",
4561,"Рак желудка",4561,C16,83,C16,C16,"Тела желудка",
4562,"Химиотерапия при саркоме",4562,C46,51,C46,C46,"Саркома Капоши кожи",
4562,"Химиотерапия при саркоме",4562,C46,51,C46,C46,"Саркома Капоши кожи",
4562,"Химиотерапия при саркоме",4562,ab94c93acceb010d726598cbb9033f175801233d,50,C46,ab94c93acceb010d726598cbb9033f175801233d,"Саркома Капоши множественных органов",
4563,"Рак поджелудочной железы",4563,C25,35,C25,C25,"рак поджелудочной железы",
4565,"Рак матки",4565,C54,7,C54,C54,"рак тела матки",
4565,"Рак матки",4565,C53,86,C53,C53,"Шейки матки неуточненной части",
4610,"Химиотерапия при раке молочной железы",4610,C50,85,C50,C50,"Поражение молочной железы, выходящее за пределы одной и более вышеуказанных локализаций",
4611,"Химиотерапия рака мочевого пузыря",4611,C67,63,C67,C67,"рак мочевого пузыря",
4762,"Химиотерапия рака матки",4762,C53,86,C53,C53,"Шейки матки неуточненной части",
4762,"Химиотерапия рака матки",4762,C54,7,C54,C54,"рак тела матки",
4762,"Химиотерапия рака матки",4762,C55,119,C55,C55,"рак матки",
4763,"Химиотерапия рака яичника",4763,C56,3,C56,C56,"Злокачественное новообразование яичника",
4765,"Химиотерапия рака пищевода",4765,C15,22,C15,C15,"рак пищевода",
4794,"Химиотерапия рака тонкой кишки",4794,C17,26,C17,C17,"рак тонкой кишки",
4817,"Химиотерапия мезотелиомы — рака плевры легкого",4817,C34,84,C34,C34,"Средней доли, бронхов или легкого",
5054,"Химиотерапия рака печени",5054,C22,19,C22,C22,"Рак внутрипеченочного желчного протока",
